Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
JOHNSON & JOHNSON MOROCCO, fabrication et commercialisation de produits de toilette, Lotissement La Colline Imm Les Quatre Temps Sidi Maarouf 20270,Casablanca,33.52482 : -7.65048,167007,Tribunal de Casablanca,1604769000070.0,,societe-johnson-johnson-morocco-25721, 52 430 300 
MUTRONIC, commerce et fabrication de produits et materiels industriels, Angle Rues Emile Brunet Et Rue Sergent Louis Ferre Ain Borja,Casablanca,33.583439 : -7.578388,41757,Tribunal de Casablanca,1527810000029.0,,societe-mutronic-55094, 150 000 000 
SOCIETE ELECTRIQUE FRERES AMAICHE (SELFA), commerce de materiel electrique.," 15 Chemin Des Dahlias, Quartier Beausite, Ain Sebaa",Ain-Sebaa (AR),33.590219 : -7.537974,66309,Tribunal de Casablanca,1514997000078.0,,societe-societe-electrique-freres-amaiche-43894, 8 000 000 
SODAP MAROC, production et commercialisation de produits speciaux pour le batiments et le genie civile adjuvants pour beton et mortier colle,,,33.580262 : -7.630217,13811,Tribunal de Berrechid,102706000071.0,,societe-sodap-maroc-8394, 5 000 000 
REPARATITION CASABLANCAISE DE MEDICAMETNS (RECAMED), distribution de produits pharmaceutiques," Lotissement Alamia, Lot N1, Sidi Moumen Ain Sebaa",Ain-Sebaa (AR),33.588406 : -7.498113,102407,Tribunal de Casablanca,1650541000006.0,,societe-reparatition-casablancaise-de-medicametns-106719, 5 000 000 
LUKUS METAL ALAMI," commerce et fabrication de materiaux de construction, metallurgie, siderurgie et production de ferroalliages", Av 20 Aout Ndeg 6 Bis Route De Rabat Bp 89200,Ksar El Kebir (M),34.996023 : -5.902004,191,Tribunal de Ksar Kebir,1525518000027.0,,societe-lukus-metal-alami-94915, 5 000 000 
MOULIM-EQUIPEMENT (MOULIMEQ), commerce de gros de materiel electrique et electronique," Route Djerf El Youdi, Ancien Route Souiriya Zone Industrielle",Safi (M),32.286873 : -9.246562,479,Tribunal de Safi,1536681000005.0,,societe-moulim-equipement-9770, 40 000 000 
INSTALLATOR (INSTALLATOR)," travaux de construction et de batiment - entreprise d'agencement de lieux de vente, installation et decoration.",,,33.603359 : -7.583182,32731,Tribunal de Casablanca,83759000062.0,,societe-installator-61648, 50 000 000 
RAFIE METAL, marchand de materiaux de construction, Z I Boustane Ii Lt I 48,Oujda (M),34.6866667 : -1.91138890000002,17089,Tribunal de Oujda,1546348000023.0,,societe-rafie-metal-131654, 6 000 000 
GROUPE BELLAKHDAR CO, importation et distribution de the, 135 Bd Rahal El Meskini,Casablanca,33.58888 : -7.60957,88699,Tribunal de Casablanca,1527093000085.0,,societe-groupe-bellakhdar-co-86870, 16 900 000 
AVE PHONE, etudes techniques - distributeur de meditel," 625, Boulevard Med V",Casablanca,33.58694440000001 : -7.6111111000000164,69467,Tribunal de Casablanca,1547327000071.0,,societe-ave-phone-1055, 1 000 000 
MABANI ZELLIDJA," - toutes operations de promotion immobiliere en vue de la vente ou la location ; - l'acquisition de tous terrains, batis ou non batis, ainsi que de toute propriete immobiliere ; - l'exploitation et la mise en valeur desdits terrains au moyen, notamment d'operations de lotissement, viabilisations, amenagement, equipement et de l'edification de constructions a usage d'habitation, commercial, professionnel, industriel ou autre ; - la transformation des biens immeubles, leur vente en copropriete par lot ou unite ; - et plus generalement, toutes operations mobilieres ou immobilieres qui pourraient se rattacher directement ou indirectement a l'objet de la societe."," Km 7, Route De Rabat, Ain Sebaa",Ain-Sebaa (AR),33.609434 : -7.519515,172725,Tribunal de Casablanca,1546926000034.0,,societe-mabani-zellidja-204913, 500 000 000 
ELEC TRIMAROC, installations electriques - eclairage public - eclairage tertiaire - mobilier urbain - illumination festive," Zone Industrielle Ouled Saleh, Lot 23, 27182 Boite Postale 428",Bouskoura,33.414212 : -7.662719,58627,Tribunal de Casablanca,230944000060.0,,societe-elec-trimaroc-50880, 40 200 000 
CRIT, cabinet de recrutement et de travail temporaire," 67, Boulevard Al Massira Al Khadra (ex Camille ) 1er 3 & 4eme Etage",Casablanca,33.58676 : -7.637355,122453,Tribunal de Casablanca,1326000000021.0,,societe-crit-134203, 1 500 000 
JESSY DIFFUSION, importation exportation et distribution de produits alimentaires fins : cereales et legumineuses...," 10 Route Azemmour,",Casablanca,33.57065 : -7.69541,51827,Tribunal de Casablanca,1539708000047.0,,societe-jessy-diffusion-53601, 35 000 000 
DELASSUS (DELASSUS), commercialisation de produits agricoles - import et export., 30 Rue Abderrahim Bouaabid Ouasis,Casablanca,33.58694440000001 : -7.6111111000000164,7217,Tribunal de Casablanca,84637000024.0,,societe-delassus-4537, 9 113 000 
MANAFID AL HOUBOUB, marchand de grains en gros, Route Principale 3011 Km 44+175 Q I Had Soualem,Soualem,33.270982 : -7.584739,4045,Tribunal de Berrechid,27631000087.0,,societe-manafid-al-houboub-100996, 121 000 000 
REZO ROUTE, md import export tenant station service exploitatuon etablissement, Rue Ibnou El Ouennane (ain Sebaa),Ain-Sebaa (AR),33.571167 : -7.612913,65155,Tribunal de Casablanca,1526657000023.0,,societe-rezo-route-42345, 5 000 000 
MUNDI RIZ," importation, exportation, production, traitement, conditionnement et commercialisation de riz et derives et les semences certifiees"," 148, Rue Allal Ben Abdellah",Larache,35.191172 : -6.149455,561,Tribunal de Larache,67941000057.0,,societe-mundi-riz-99450, 103 500 000 
WAFA LLD, location de vehicules longue duree automobiles pour les entreprises - gestion de parcs automobiles, 5 Eme Etage De L'immeuble Sis A Angle Boulevard Roudani Et Rue Jean Jaures,Casablanca,33.58694440000001 : -7.6111111000000164,109497,Tribunal de Casablanca,1534857000074.0,,societe-wafa-lld-118001, 20 000 000 
NEWREST FMS MAROC," restauration collective, cheques et cartes de service, facilite management (nettoyage, blanchisserie, buanderie, jardinage, maintenance multi technique", 18 Rue Ibnou Khalikane Quartier Palmier,Casablanca,33.58694440000001 : -7.6111111000000164,100455,Tribunal de Casablanca,27599000078.0,,societe-sodexo-maroc-104321, 95 697 960 
AL OMRANE FES MEKNES, construction des batiments - travaux de construction - travaux de genie civil, Rte Imouzzer Rce Nakhil Atlas Place Bir Anzarane,Fes-Medina (AR),34.032698 : -4.997322,28047,Tribunal de Fes,1551767000083.0,,societe-al-omrane-fes-meknes-197755, 407 235 700 
SOCIETE FASSIE DE FER (SOFAFER )," production & commercialisation de tubes, toles, profiles en acier, tubes galvanises et materiel de serres agricoles, plancher collaborant toladala, panneaux sandwich, ..."," Avenue 801 Avenue Ibn Haitam, Rue Ibn Baja Quartier Industriel Sidi Brahim Bp 5789",Fes,34.0284 : -4.9783,18619,Tribunal de Fes,1532844000008.0,,societe-societe-fassie-de-fer-80627, 45 000 000 
UNIVERS BAT (UNIVERSBAT), entreprise de travaux divers et de construction," Bloc 5, 3eme Etage Residence Aya ""a"" Route De Rabat",Tanger-Medina (AR),35.766667 : -5.8,74267,Tribunal de Tanger,1541620000027.0,,societe-univers-bat-20457, 100 000 000 
COMPAGNIE MAROCAINE DE PLATRE ET D'ENDUIT (CMPE), fabrication de platre et exploitation de carrieres," Caidat De Khemiss Khatazakane, Km 6,500 Route De Sebt Gzoula Bp 28",Safi (M),32.217979 : -9.136709,975,Tribunal de Safi,1524806000045.0,,societe-compagnie-marocaine-de-platre-et-d-enduit-85502, 18 000 000 
RAHMOUNI AUTO SERVICES, concessionnaire automobiles - vente de fournitures et pieces detachees pour vehicules automobiles, Bd De Bordeaux Ndeg 274 Bourgogne,Casablanca,33.59968 : -7.63485,112477,Tribunal de Casablanca,1535874000066.0,,societe-rahmouni-auto-services-122688, 25 000 000 
LES GRANDES SEMOULERIES DE SAFI (G. S. S), semoulerie industrielle.," Route Du Djorf El Youdi, Quartier Industriel",Safi (M),32.286873 : -9.246562,1551,Tribunal de Safi,1535232000037.0,,societe-les-grandes-semouleries-de-safi-119292, 151 200 000 
INABENSA MAROC, installation electriques generales," 179, Avenue Moulay Hassan 1er Escalier A, 1er Etage",Casablanca,33.59193 : -7.6265,79361,Tribunal de Casablanca,1525161000063.0,,societe-inabensa-maroc-72934, 57 267 000 
STE SEMENCES ET GRAINS ZOHOR," stockage et distribution de cereales, de grains, engrais, produits de sol et semences", 40 Rue Chefchaoun,Meknes,33.879536 : -5.561959,19235,Tribunal de Meknes,1625106000088.0,,societe-ste-semences-et-grains-zohor-27981, 7 170 000 
MULTIGRAIN," importation et exportation de cereales, legumineuse, caroubes aliments de betail et prestations de services(stockage - hangars et silos.)"," Imane Centre Angle Rue La Place Et Boulevard Moulay Abderrhmane 6eme Etage, Bureau 62",Casablanca,33.597313 : -7.604358,186859,Tribunal de Casablanca,1534604000018.0,,societe-multigrain-219331, 30 000 000 
DELASSUS CITRUS, conditionnement et exportation des agrumes, Route El Ghaba,Ait Melloul (M),30.347293 : -9.492731,507,Tribunal de Agadir,1534674000068.0,,societe-delassus-citrus-33359, 24 640 000 
GROUPEMENTD'INTERET ECONOMIQUE (GIE), participation a tous travaux forestiers, El Ksiba Quartier Administratif,Beni Mellal,32.336179 : -6.355309,1613,Tribunal de Beni Mellal,,,societe-groupementd-interet-economique-128395, 20 000 
LES INDUSTRIES ALIMENTAIRES REUNIES (INDUSALIM), fabrication et commercialisation de margarine - produits agro alimentaires," Avenue Hassan Ii Zone Industriel Lot Indusalim, Rp 7",Settat (M),33.010917 : -7.618159,323,Tribunal de Settat,1525125000065.0,,societe-les-industries-alimentaires-reunis-23749, 10 000 000 
FIRST QUALITY FOODS, fabrication et vente de biscuits, Lotiss Madihi Lot N 09 Soualem -26100,Soualem,33 : -7.616666699999996,4053,Tribunal de Berrechid,1539924000035.0,,societe-first-quality-foods-212641, 100 000 000 
STE NOUVELLE METALLURGIQUE MAGHREBINE (NOVOMETAL), fabrication et production de produits metallurgiques - commerce de gros de produits metallurgiques.," Zone Industrielle Ouled Hadda Lot A, Sidi Hajjaj, Oued Hassar",Casablanca,33.58694440000001 : -7.6111111000000164,60121,Tribunal de Casablanca,1514808000040.0,,societe-ste-nouvelle-metallurgique-maghrebine-53031, 86 500 000 
OFFSET POLYPLAST, fabrication d'emballages en matieres plastiques.,,,33.606238 : -7.530777,58051,Tribunal de Casablanca,1524808000088.0,,societe-offset-polyplast-50629, 12 000 000 
FEED AND FOOD ADDITIFS (FFA), fabrication et commerce de gros d'aliments pour animaux, Lot Erac. Ndeg 129 Zone Industrielle Mohammedia,Mohammedia (M),33.702852 : -7.372212,3015,Tribunal de Mohammedia,1676297000084.0,,societe-feed-and-food-additifs-96073, 20 000 000 
STE SONAJIB DE MATERIAUX DE CONSTRUCTION (SONAJIB), commerce de materiaux de construction, 149 Hay My Abdellah Rue 300,Casablanca,33.546685 : -7.588113,68885,Tribunal de Casablanca,1534791000013.0,,societe-ste-sonajib-de-materiaux-de-construction-44922, 16 000 000 
SAKANI, promotion immobiliere., Rue Jaafar Ibnou Habib Res Al Machrik Bourgogne,Casablanca,33.597885602 : -7.64498682378,124035,Tribunal de Casablanca,1531960000014.0,,societe-sakani-135347, 1 000 000 
HYDRAU MAC," import, vente, location et reparation des engins et de toutes machines pour travaux publics",,,33.592487 : -7.629347,109039,Tribunal de Casablanca,79298000035.0,,societe-hydrau-mac-117867, 20 000 000 
BATIFER (BATIFER), fabrication de tubes., 29 Rue Soldat Taoufik Abdelkader,Casablanca,33.58694440000001 : -7.6111111000000164,527773,Tribunal de Casablanca,83867000056.0,,societe-batifer-61166, 51 000 000 
COMPAGNIE CHERIFIENNE D'EMBALLAGES EN PAPIER (COCHEPA), fabrication de sacs en papier et en plastique - import export.," 20580, 84 Boulevard Moulay Slimane",Casablanca,33.6181 : -7.54599,4907,Tribunal de Casablanca,1552339000062.0,,societe-compagnie-cherifienne-d-emballages-en-papier-6949, 9 393 750 
LINE ONE, negoce et import export.,,,33.58694440000001 : -7.6111111000000164,194559,Tribunal de Casablanca,80832000036.0,,societe-line-one-237649, 50 000 
SCHIELE MAROC (SCHIELE MAROC), vente et installation de materiel electrique," Route De Rabat Km 7,2 Ain Sebaa",Ain-Sebaa (AR),33.609434 : -7.519515,74533,Tribunal de Casablanca,84664000071.0,,societe-schiele-maroc-41284, 35 000 000 
AL OMRANE REGION DE L'ORIENTAL," promoteurs immobiliers, promoteurs constructeurs"," Avenue M'barek El Bekkay Lahbil, Place 3 Mars, Immeuble C",Oujda (M),34.676669 : -1.928246,19439,Tribunal de Oujda,1535084000056.0,,societe-al-omrane-region-de-l-oriental-197760, 49 342 400 
DISTRA," fabrication et commercialisation des produits chimiques, produits de nettoyage et d'entretien (savons, detergents et lessives)"," 5/7 Rue Ibnou Toufail, Palmier",Casablanca,33.583181 : -7.625429,215897,Tribunal de Casablanca,1599087000030.0,,societe-distra-104880, 126 072 900 
MEDIA MIX, agence de communication et de media - impression etudes et conseil publicite.," 56, Rue El Fourat, Residence Sanaa, 3eme Etage Maarif",El Maarif (AR),33.578206 : -7.638255,128829,Tribunal de Casablanca,26912000003.0,,societe-media-mix-144169, 6 000 000 
ZIZ DISTRIBUTION, station de service - commerce de carburants, Km 7 Route De Rabat Ain Sebaa,Ain-Sebaa (AR),33.609434 : -7.519515,83701,Tribunal de Casablanca,1529951000034.0,,societe-ziz-distribution-82350, 7 000 000 
STE BEL MEKKI HASSAN ET FILS, travaux de construction - commerce de materiaux de construction., 22 Rue Chefchaouen Vn Place D'arme,Meknes (M),33.894915 : -5.537075,19779,Tribunal de Meknes,1530615000051.0,,societe-ste-bel-mekki-hassan-et-fils-74570, 100 000 000 
L'EDEN DE MARRAKECH, promotion immobiliere," Route Amezmiz 2,5 Km Marrakech Bp 241 Medina Marrakech",Marrakech,31.624961 : -7.992414,11167,Tribunal de Marrakech,1633715000057.0,,societe-l-eden-de-marrakech-100545, 1 000 000 
DATA BUSINESS AND MARKETING MAROC (D.B.M)," importation, construction de materiel informatique et smartphone.",,,33.670073 : -7.417525,20773,Tribunal de Mohammedia,1533085000097.0,,societe-data-business-and-marketing-maroc-96232, 20 000 000 
REGIONAL AIR LINES, transports aeriens de voyageurs et de marchandises," Aerogare Arrivee, Aeroport Mohammed V",Casablanca,33.371898 : -7.543865,83003,Tribunal de Casablanca,1526209000091.0,,societe-regional-air-lines-77910, 154 000 000 
IRIZAR MAROC, fabricant carrosserie import export, Autoroute Casa-rabat,Skhirate (M),33.891231 : -6.996731,63361,Tribunal de Rabat,95269000080.0,,societe-irizar-maroc-177969, 37 300 000 
HIFEEDS, production et distribution d'aliments pour volaille et betail.," Km 11 Route D'ouled Aamar, Douar Lemzaouir",Azemmour (M),33.282881 : -8.335364,2713,Tribunal de Eljadida,1527416000094.0,,societe-hifeeds-113865, 4 000 000 
GROUPEMENT DE TRANSPORT ET GENIE CIVIL DE L'ORIENTAL (G.T.G.C.O.), travaux de divers de construction - transport de marchandises - commerce de gros materiaux de construction, Bd Saadyine 3eme Etage App 1 Ndeg 5.,Oujda (M),34.6866667 : -1.91138890000002,17039,Tribunal de Oujda,1515708000087.0,,societe-groupement-de-transport-et-genie-civil-de-l-oriental-128967, 40 000 000 
HIGHTECH PAYMENT SYSTEMS (HPS), service d'ingenierie," Nearshore Park, Shore 1, Secteur A, 1100 Boulevard Al Qods, Sidi Maarouf 20270",Casablanca,33.52695 : -7.641,77409,Tribunal de Casablanca,1524008000057.0,,societe-hightech-payment-systems-70190, 74 061 900 
STE NATIONALE DE CARTON ONDULE (SONACAR)," fabrication de carton ondule - emballages, conditionnements (carton, papier)", Zone Industrielle Route De Safi Rue 5 Ndeg26 24000,El-Jadida,33.24701 : -8.508076,1763,Tribunal de Eljadida,1526344000035.0,,societe-ste-nationale-de-carton-ondule-89015, 37 000 000 
MAROMETAL (MAROMETAL), commerce de materiaux de construction - commerce de gros de quincaillerie et produits metallurgiques, Avenue Bine Sadat Lot Ndeg 2 Sidi Bernoussi,Sidi Bernoussi (AR),33.626136 : -7.509107,45439,Tribunal de Casablanca,84031000090.0,,societe-marometal-57925, 15 000 000 
MORO TISSUE, fabrication et vente des mouchoirs en papiers et tous produits a base de papiers - import et export, Bd D'anfa Immeuble Azrou Bureau Ndeg 11 B,Casablanca,33.58694440000001 : -7.6111111000000164,149651,Tribunal de Casablanca,1539283000076.0,,societe-moro-tissue-169542, 39 000 000 
SUZUKI MAROC, commerce de vehicules automobiles, Angle Bd Bahmad Et La Rue Des Oudayas,Casablanca,33.589982 : -7.591516,93987,Tribunal de Casablanca,1544429000038.0,,societe-suzuki-maroc-96584, 40 000 000 
USINE PINGOUIN, fabrication et commerce de creme glacee, 269 Bd Chefchaouni,Ain-Sebaa (AR),33.61074 : -7.532568,25725,Tribunal de Casablanca,1512241000091.0,,societe-usine-pingouin-64177, 15 000 000 
INTERSIG MAROC, fabrication de materiaux de construction, Dr El Frafra Ouled Ahmed,Dar Bouazza,33.54227085 : -7.70242659632,89807,Tribunal de Casablanca,1430015000057.0,,societe-intersig-maroc-89966, 38 400 000 
MOROCCAN FOOD PROCESSING (MFPO), fabrications de jus - fabrications de huile, Rue El Haouza (ex E) Oukacha Ain Sebaa,Ain-Sebaa (AR),33.289015 : -7.576031,440677,Tribunal de Casablanca,69376000015.0,,societe-morrocan-food-processing-25203, 50 000 000 
SOCIETE ARABE DEVELOPPEMENT DES TECHNOLOGIES DE CONSTRUCTION (SADET), fabrication de composants de structure en beton et autres materiaux de construction - distribution de composants prefabriques en beton pour la construction, Douar Lagouassem Terrain Abakad,Bouskoura,33.4904859824 : -7.69066235216,60369,Tribunal de Casablanca,1554708000022.0,,societe-societe-arabe-developpement-des-technologies-de-construction-17366, 84 000 000 
PASTOR, fabrication de confiserie et chocolaterie.," 49, Rue Ennasrine, Beausejour",Casablanca,33.568475 : -7.65022,23693,Tribunal de Casablanca,1511742000081.0,,societe-pastor-65392, 55 000 000 
LES NOUVEAUX ETABLISSEMENTS EL HARRATI, vente des vehicules automobiles - entretien et reparation des vehicules automobiles - commerce d'equipements automobiles - location de terrain - operations immobilieres," Lotissement El Assam, Route Nationale,ndeg 02",Kenitra (M),34.257394 : -6.590154,25385,Tribunal de Kenitra,1538152000058.0,,societe-les-nouveaux-etablissements-el-harrati-23177, 18 004 000 
SOCIETE DE DISTRIBUTION PHARMACEUTIQUE DE KENITRA (DISTRIPHAK), distribution de produits pharmaceutiques, Lot 104 Zone Dactivite Saknia,Kenitra (M),34.26406100000001 : -6.578296000000023,26199,Tribunal de Kenitra,1436599000090.0,,societe-ste-distribution-promotion-formation-pharmaceutique-de-kenitra-19551, 6 000 000 
MEKNASSIE INDUSTRIELLE DE FER (LASMIF), fabrication de poutrelles nues et treillis soudes., Pl14 Im E12 Q.gare Bd My Ismail Ang E.zola .rocroy,Casablanca,33.58694440000001 : -7.6111111000000164,211177,Tribunal de Casablanca,1553118000078.0,,societe-meknassie-industrielle-de-fer-166989, 52 800 000 
